lr-AdamW,created_at,train/loss_simple_step,train/loss_vlb_step,train/loss_step,global_step,epoch
0.02,2026-06-07 14:30:40.288111,,,,,
,2026-06-07 14:30:42.677160,0.006761583965271711,2.683154889382422e-05,0.006761583965271711,49.0,0.0
0.02,2026-06-07 14:32:56.942496,,,,,
,2026-06-07 14:32:59.954678,0.003587700193747878,1.4883327821735293e-05,0.003587700193747878,99.0,0.0
0.02,2026-06-07 14:35:32.998593,,,,,
,2026-06-07 14:35:35.911477,0.016005462035536766,0.000312343385303393,0.016005462035536766,149.0,0.0
0.02,2026-06-07 14:38:26.741927,,,,,
,2026-06-07 14:38:30.117700,0.008120154961943626,2.783765012281947e-05,0.008120154961943626,199.0,0.0
0.02,2026-06-07 14:41:08.848048,,,,,
,2026-06-07 14:41:11.809042,0.011139163747429848,4.4908112613484263e-05,0.011139163747429848,249.0,0.0
0.02,2026-06-07 14:43:42.285969,,,,,
,2026-06-07 14:43:45.109554,0.0088869109749794,3.874969115713611e-05,0.0088869109749794,299.0,0.0
0.02,2026-06-07 14:46:13.244293,,,,,
,2026-06-07 14:46:16.072208,0.004726724699139595,1.8944876501336694e-05,0.004726724699139595,349.0,0.0
0.02,2026-06-07 14:48:51.855273,,,,,
,2026-06-07 14:48:54.728916,0.016723498702049255,0.00012193180009489879,0.016723498702049255,399.0,0.0
0.02,2026-06-07 14:51:30.684594,,,,,
,2026-06-07 14:51:33.967264,0.004871848970651627,2.0844043319812045e-05,0.004871848970651627,449.0,0.0
0.02,2026-06-07 14:54:13.272878,,,,,
,2026-06-07 14:54:16.359530,0.004418069496750832,1.7835864127846435e-05,0.004418069496750832,499.0,0.0
0.02,2026-06-07 15:05:14.629573,,,,,
,2026-06-07 15:05:18.096180,0.01691322773694992,0.00010587043652776629,0.01691322773694992,549.0,0.0
0.02,2026-06-07 15:08:01.050738,,,,,
,2026-06-07 15:08:04.926995,0.009346178732812405,4.043796070618555e-05,0.009346178732812405,599.0,0.0
0.02,2026-06-07 15:11:00.083302,,,,,
,2026-06-07 15:11:04.140749,0.014398040249943733,0.0001249183842446655,0.014398040249943733,649.0,0.0
0.02,2026-06-07 15:13:47.319894,,,,,
,2026-06-07 15:13:50.477543,0.007456847466528416,2.7003679861081764e-05,0.007456847466528416,699.0,0.0
0.02,2026-06-07 15:16:38.403587,,,,,
,2026-06-07 15:16:41.535971,0.005111030302941799,2.006138674914837e-05,0.005111030302941799,749.0,0.0
0.02,2026-06-07 15:19:25.220503,,,,,
,2026-06-07 15:19:29.073954,0.015816349536180496,8.901071851141751e-05,0.015816349536180496,799.0,0.0
0.02,2026-06-07 15:22:20.493896,,,,,
,2026-06-07 15:22:23.972961,0.008917169645428658,3.604224184527993e-05,0.008917169645428658,849.0,0.0
0.02,2026-06-07 15:25:08.807550,,,,,
,2026-06-07 15:25:11.999845,0.007299606688320637,2.6465855626156554e-05,0.007299606688320637,899.0,0.0
0.02,2026-06-07 15:28:18.298045,,,,,
,2026-06-07 15:28:21.589368,0.008219894953072071,4.547949356492609e-05,0.008219894953072071,949.0,0.0
0.02,2026-06-07 15:31:07.602734,,,,,
,2026-06-07 15:31:11.406592,0.010885003954172134,7.440602348651737e-05,0.010885003954172134,999.0,0.0
0.02,2026-06-07 15:42:01.178738,,,,,
,2026-06-07 15:42:04.347777,0.012530856765806675,0.0001664700248511508,0.012530856765806675,1049.0,0.0
0.02,2026-06-07 15:45:20.419496,,,,,
,2026-06-07 15:45:24.381177,0.005498036742210388,1.9346434783074073e-05,0.005498036742210388,1099.0,0.0
